0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
-188.10275268554688,131.28114318847656,-21.43547821044922,22.81525993347168,-9.269540786743164,-6.016567707061768,-14.158604621887207,-13.578045845031738,-10.212209701538086,-2.133408546447754,-6.20707893371582,-2.3903403282165527,-3.273059129714966,-1.155898928642273,0.6621704697608948,5.483652114868164,3.308600664138794,9.640331268310547,2.818800687789917,7.0697340965271,music
-274.6134338378906,144.20108032226562,-33.46995162963867,19.800323486328125,-24.87737464904785,-17.158294677734375,-22.01498794555664,-17.26725959777832,-15.437630653381348,-8.707235336303711,-1.2357794046401978,-18.315200805664062,-5.145068645477295,-4.926586627960205,-7.025790691375732,-8.244914054870605,-4.765889644622803,-6.225338935852051,-10.163496017456055,1.8878145217895508,music
-272.5681457519531,137.9598846435547,-32.20277786254883,16.763519287109375,-10.349285125732422,-13.126593589782715,-20.748435974121094,-18.914234161376953,-13.644554138183594,-17.109155654907227,-10.1787748336792,-16.120956420898438,-7.0333685874938965,-5.9145026206970215,-3.8053624629974365,-3.7899043560028076,-9.964807510375977,-8.762665748596191,-8.551440238952637,-3.5023813247680664,music
-368.1042785644531,131.04917907714844,-7.447183132171631,-3.596102476119995,-16.52906036376953,-5.846459865570068,-11.771049499511719,-34.41480255126953,-27.52530288696289,-14.061049461364746,-8.488407135009766,-9.735208511352539,-14.869229316711426,-12.665853500366211,-1.9370306730270386,-4.706913948059082,-7.627401828765869,-12.861655235290527,-14.846138000488281,2.1246695518493652,music
-320.4537353515625,121.19783020019531,-32.16631317138672,31.311298370361328,-33.73878479003906,-7.851624965667725,-25.032638549804688,-14.262070655822754,-5.368381023406982,-20.586023330688477,-14.399259567260742,-24.223825454711914,-9.488083839416504,-11.68691349029541,-5.600022315979004,1.724333643913269,-3.822570323944092,-8.841217041015625,-12.251060485839844,-7.900598526000977,music
-306.74267578125,142.594970703125,-27.720815658569336,21.234848022460938,-4.976953983306885,-5.108961582183838,-23.432106018066406,-20.234472274780273,-15.318563461303711,-17.473581314086914,-8.352191925048828,-15.264610290527344,-7.349234580993652,-10.253064155578613,-1.1990960836410522,-1.3021172285079956,-10.591706275939941,-5.934772968292236,-3.670565366744995,0.30703720450401306,music
-333.12213134765625,148.32241821289062,-25.161399841308594,37.97829055786133,-19.924516677856445,3.209902286529541,-18.172861099243164,-10.194011688232422,-6.020619869232178,-18.473318099975586,-7.591811656951904,-18.93536376953125,-13.512568473815918,-13.964978218078613,-12.471774101257324,-11.07589054107666,-1.9064360857009888,-9.097138404846191,-7.524070739746094,5.443901062011719,music
-308.2099914550781,138.22708129882812,-32.28934860229492,17.085994720458984,-24.55613899230957,-9.063703536987305,-11.949332237243652,-20.827970504760742,-20.255050659179688,-12.782779693603516,-5.499243259429932,-16.614967346191406,-12.279280662536621,-18.32589340209961,-10.723104476928711,-4.7649383544921875,3.1865158081054688,3.223170757293701,-2.5618560314178467,6.118597030639648,music
-300.51202392578125,128.57211303710938,-17.347503662109375,14.357258796691895,-13.02592658996582,-0.8918117880821228,-13.583537101745605,-13.206753730773926,-12.429363250732422,-7.801255702972412,0.8867923617362976,-12.184860229492188,-7.97326135635376,-15.838290214538574,-6.338909149169922,1.0949636697769165,-1.2301785945892334,-3.854255437850952,-8.120613098144531,0.6810923218727112,music
-345.232666015625,143.6394805908203,-18.876399993896484,10.371748924255371,-34.37070083618164,-35.757015228271484,-8.502180099487305,-14.105196952819824,-19.541332244873047,-19.845090866088867,-16.252775192260742,-14.409119606018066,-4.0828752517700195,-7.355345249176025,-8.188480377197266,-6.6465983390808105,-15.806146621704102,-13.390223503112793,-12.489533424377441,-8.684361457824707,music
